Code,Meaning,Comments
"2","Fresno",""
"1","Manzanar (up to 6/1/42)","Manzanar was a Relocation Project after June 1, 1942."
"3","Marysville (Arboga)",""
"4","Mayer",""
"5","Merced",""
"0","None","The agency assumed that the person went directly to the Relocation Project given or was born in the Relocation Project or listed Manzanar (after June 1, 1942)and other Relocation Projects as the Assembly Center."
"6","Pinedale",""
"7","Pomona",""
"8","Portland (Pacific Int. Exposition Ground)",""
"9","Puyallup",""
"-","Sacramento (Walerga)",""
"A","Salinas",""
"B","Santa Anita",""
"C","Stockton",""
"D","Tanforan",""
"E","Tulare",""
"F","Turlook",""
