Code,Meaning,Comments
"9","Father=Hawaii, Mother=Hawaii",""
"3","Father=Hawaii, Mother=Japan",""
"U","Father=Hawaii, Mother=Other",""
"6","Father=Hawaii, Mother=U.S. exc.",""
"T","Father=Hawaii, Mother=Unknown",""
"7","Father=Japan, Mother=Hawaii",""
"1","Father=Japan, Mother=Japan",""
"C","Father=Japan, Mother=Other",""
"4","Father=Japan, Mother=U.S. exc.",""
"B","Father=Japan, Mother=Unknown",""
"V","Father=Other, Mother=Hawaii",""
"D","Father=Other, Mother=Japan",""
"Z","Father=Other, Mother=Other",""
"M","Father=Other, Mother=U.S. exc.",""
"Y","Father=Other, Mother=Unknown",""
"8","Father=U.S. exc., Mother=Hawaii",""
"2","Father=U.S. exc., Mother=Japan",""
"L","Father=U.S. exc., Mother=Other",""
"5","Father=U.S. exc., Mother=U.S. exc.",""
"K","Father=U.S. exc., Mother=Unknown",""
"S","Father=Unknown, Mother=Hawaii",""
"A","Father=Unknown, Mother=Japan",""
"X","Father=Unknown, Mother=Other",""
"J","Father=Unknown, Mother=U.S. exc.",""
"W","Unkown for both parents",""
