Code,Meaning,Comments
"L","ENGLISH SPEAK, READ & WRITE; OTHER LANGUAGE READ OR READ & WRITE",""
"5","ENGLISH SPEAK, WRITE, READ ONLY",""
"-","ENGLISH SPEAKING ONLY",""
"Y","JAPANESE & ENGLISH SPEAK, READ & WRITE; OTHER LANGUAGE READ & WRITE",""
"W","JAPANESE & ENGLISH SPEAK, READ & WRITE; OTHER LANGUAGE SPEAKING",""
"V","JAPANESE AND OTHER LANGUAGE SPEAK, READ & WRITE; ENGLISH SPEAKING",""
"O","JAPANESE AND OTHER LANGUAGE SPEAKING;  ENGLISH SPEAK, READ & WRITE ",""
"S","JAPANESE SPEAK, READ & WRITE; ENGLISH AND OTHER LANGUAGE SPEAKING",""
"K","JAPANESE SPEAK, READ & WRITE; ENGLISH READ & WRITE, OTHER LANGUAGE SPEAK, READ & WRITE",""
"P","JAPANESE SPEAK, READ & WRITE; ENGLISH READ & WRITE, OTHER LANGUAGE SPEAKING",""
"U","JAPANESE SPEAK, READ & WRITE; ENGLISH SPEAKING; OTHER LANGUAGE READ AND WRITE",""
"2","JAPANESE SPEAK, WRITE, READ ONLY",""
"I","JAPANESE SPEAK, WRITE, READ; ENGLISH READ & WRITE",""
"7","JAPANESE SPEAK, WRITE, READ; ENGLISH SPEAK, READ & WRITE ",""
"4","JAPANESE SPEAK, WRITE, READ; ENGLISH SPEAKING",""
"F","JAPANESE SPEAK, WRITE, READ; OTHER LANGUAGE READ & WRITE ",""
"G","JAPANESE SPEAK, WRITE, READ; OTHER LANGUAGE SPEAK, READ & WRITE ",""
"E","JAPANESE SPEAK, WRITE, READ; OTHER LANGUAGE SPEAKING",""
"8","JAPANESE SPEAK; ENGLISH READ & WRITE",""
"1","JAPANESE SPEAKING ONLY",""
"Q","JAPANESE SPEAKING; ENGLISH SPEAK, READ & WRITE; OTHER LANGUAGE READ & WRITE",""
"R","JAPANESE SPEAKING; ENGLISH SPEAK, READ & WRITE; OTHER LANGUAGE SPEAK, READ AND WRITE",""
"6","JAPANESE SPEAKING; ENGLISH SPEAK, READ AND WRITE",""
"3","JAPANESE SPEAKING; ENGLISH SPEAKING",""
"D","JAPANESE SPEAKING; OTHER LANGUAGE SPEAK, READ & WRITE ",""
"C","JAPANESE SPEAKING; OTHER LANGUAGE SPEAKING",""
"Z","JAPANESE, ENGLISH AND OTHER LANGUAGE SPEAK, READ & WRITE ",""
"9","NOT APPLICABLE (11 YRS. AND UNDER)","(also includes deaf & dumb)"
"N","OTHER LANGUAGE SPEAK, READ & WRITE; ENGLISH SPEAK, READ & WRITE ",""
"M","OTHER LANGUAGE SPEAK, READ & WRITE; ENGLISH SPEAKING",""
"B","OTHER LANGUAGE SPEAK, WRITE, READ ONLY",""
"A","OTHER LANGUAGE SPEAKING ONLY",""
"J","OTHER LANGUAGE SPEAKING; ENGLISH SPEAK, READ & WRITE ",""
"H","OTHER LANGUAGE SPEAKING; ENGLISH SPEAKING",""
"&","UNKNOWN",""
