Code,Meaning,Comments
"13431"," PASO ROBLES, CALIFORNIA",""
"13814","ALAMEDA, BERKELEY OR OAKLAND, CALIFORNIA",""
"13813","ALBANY OR SAN LEANDRO, CALIFORNIA",""
"11400","ALBION, COLTON, ELBERTON, ENDICOTT, FARMINGTON, GARFIELD, LA CROSSE, LAMONT, MALDEN, OAKESDALE, PALOUSE, ROSALIA, ST. JOHN, TEKOA, OR UNIONTOWN, WASHINGTON",""
"11480","ALMIRA, CRESTON, DAVENPORT, HARRINGTON, ODESSA, REARDAN, SPRAGUE OR WILBUR, WASHINGTON",""
"13270","ALTURAS, CALIFORNIA",""
"13-10","ALVISO OR MORGAN HILL, CALIFORNIA",""
"13220","AMADOR, JACKSON, PLYMOUTH OR SUTTER CREEK, CALIFORNIA",""
"11282","ANACORTES, WASHINGTON",""
"13023","ANAHEIM OR FULLERTON, CALIFORNIA",""
"81011","ANCHORAGE, FAIRBANKS OR KETCHIKAN, ALASKA",""
"81041","ANCHORAGE, FAIRBANKS OR KETCHIKAN, ALASKA",""
"81031","ANCHORAGE, FAIRBANKS OR KETCHIKAN, ALASKA",""
"13230","ANGELS, CALIFORNIA",""
"13822","ANTIOCH, MARTINEZ, PITTSBURG OR EL CERRITO, CALIFORNIA",""
"13012","ARCADIA, AZUSA, HAWTHORNE, HERMOSA BEACH, MANHATTAN BEACH, SAN MARINO, MONTEBELLO, MONTEREY PARK, SAN FERNANDO, CULVER CITY, GARDENA OR TORRANCE, CALIFORNIA",""
"13120","ARCATA, BLUE LAKE, FERNDALE, FORTUNA, OR TRINIDAD, CALIFORNIA",""
"11200","ARLINGTON, EAST STANWOOD, EDMONDS, INDEX, MARYSVILLE, MONROE, GOLD BAR, GRANITE FALLS, SULTAN OR STANWOOD, WASHINGTON",""
"13430","ARROYO GRANDE, CALIFORNIA",""
"11420","ASOTIN, WASHINGTON",""
"13850","ATHERTON, LAWNDALE OR BELMONT, CALIFORNIA",""
"13550","ATWATER, GUSTINE, DOS PALOS, LOS BANOS OR LIVINGSTON, CALIFORNIA",""
"13291","AUBURN, CALIFORNIA",""
"13010","AVALON, PALO VERDE ESTATES, VERNON, OR WEST COVINA, CALIFORNIA",""
"13524","BAKERSFIELD, CALIFORNIA",""
"13721","BANNING, BEAUMONT, HEMET OR PALM SPRINGS, CALIFORNIA",""
"45134","BATTLE CREEK, MICHIGAN",""
"13013","BELL, COMPTON, SAN GABRIEL, REDONDO BEACH, LYNWOOD, MAYWOOD, POMONA, MONROVIA, WHITTIER OR SOUTH PASADENA, CALIFORNIA",""
"11284","BELLINGHAM, WASHINGTON",""
"13830","BELVEDERE, CORTE MADERA, FAIRFAX, LARKSPUR OR ROSS, CALIFORNIA",""
"13860","BENICIA, RIO VISTA, DIXON, FAIRFIELD, SUISON CITY OR VACAVILLE, CALIFORNIA",""
"13014","BEVERLY HILLS, BELVEDERE TOWNSHIP, INGLEWOOD, BURBANK, GLENDALE, PASADENA, LONG BEACH, HUNTINGTON PARK, ALHAMBRA, SANTA MONICA OR SOUTH GATE, CALIFORNIA",""
"13310","BIGGS OR GRIDLEY, CALIFORNIA",""
"11350","BINGEN, GOLDENDALE, OR WHITE SALMON, WASHINGTON",""
"31374","BIRMINGHAM, ALABAMA",""
"13250","BISHOP, CALIFORNIA",""
"49083","BISMARCK, NORTH DAKOTA",""
