Code,Meaning,Comments
"41","ADAMS ",""
"81","ALAMEDA",""
"21","ALPINE, MARIPOSA, MONO, TOULUMNE ",""
"22","AMADOR ",""
"11","APACHE ",""
"42","ASOTIN ",""
"41","BAKER ",""
"31","BENTON ",""
"11","BENTON ",""
"31","BUTTE ",""
"23","CALAVERAS ",""
"32","CHELAN ",""
"51","CLACKAMAS ",""
"11","CLALLAM",""
"21","CLARK ",""
"12","CLATSOP ",""
"21","COCHISE ",""
"12","COCONINO ",""
"43","COLUMBIA",""
"13","COLUMBIA ",""
"32","COLUSA ",""
"82","CONTRA COSTA",""
"21","COOS ",""
"22","COWLITZ ",""
"42","CROOK ",""
"22","CURRY ",""
"11","DEL NORTE ",""
"43","DESCHUTES",""
"23","DOUGLAS ",""
"44","DOUGLAS ",""
"24","EL DORADO ",""
"33","FERRY ",""
"45","FRANKLIN ",""
"51","FRESNO ",""
"01","First Judicial Division",""
"04","Fourth Judicial Division",""
"46","GARFIELD",""
"13","GILA ",""
"31","GILLIAM ",""
"33","GLENN ",""
"22","GRAHAM ",""
"47","GRANT",""
"44","GRANT ",""
"12","GRAYS HARBOR ",""
"23","GREENLEE ",""
"45","HARNEY ",""
"14","HOOD RIVER ",""
"12","HUMBOLDT ",""
"71","IMPERIAL ",""
"25","INYO ",""
"23","ISLAND ",""
"24","JACKSON ",""
"32","JEFFERSON ",""
"13","JEFFERSON ",""
"25","JOSEPHINE ",""
"52","KERN ",""
"51","KING ",""
"53","KINGS ",""
"24","KITSAP ",""
"34","KITTITAS ",""
"46","KLAMATH ",""
"35","KLICKITAT ",""
"13","LAKE ",""
"47","LAKE ",""
"15","LANE ",""
"26","LASSEN ",""
"25","LEWIS ",""
"48","LINCOLN ",""
"16","LINCOLN ",""
"17","LINN ",""
"01","LOS ANGELES ",""
"54","MADERA",""
"48","MALHEUR",""
"24","MARICOPA ",""
"83","MARIN ",""
"18","MARION ",""
"26","MASON ",""
"14","MENDOCINO",""
"55","MERCED ",""
"27","MODOC ",""
"14","MOHAVE",""
"41","MONTEREY ",""
"33","MORROW ",""
"52","MULTNOMAH ",""
"15","NAPA ",""
"15","NAVAJO ",""
"--","None",""
"--","None",""
"--","None",""
"--","None",""
"--","None",""
"--","None",""
"36","OKANOGAN ",""
"02","ORANGE",""
"14","PACIFIC ",""
"37","PEND OREILLE ",""
"52","PIERCE",""
"25","PIMA ",""
"26","PINAL ",""
"29","PLACER ",""
"20","PLUMAS ",""
"19","POLK ",""
"72","RIVERSIDE ",""
"91","SACRAMENTO ",""
"42","SAN BENITO ",""
"73","SAN BERNARDINO ",""
"&1","SAN DIEGO ",""
"84","SAN FRANCISCO ",""
"56","SAN JOAQUIN ",""
"27","SAN JUAN ",""
"43","SAN LUIS OBISPO ",""
"85","SAN MATEO ",""
"61","SANTA BARBARA",""
"-1","SANTA CLARA ",""
"44","SANTA CRUZ ",""
"27","SANTA CRUZ ",""
"2-","SHASTA ",""
"34","SHERMAN ",""
"28","SIERRA, NEVADA ",""
"2&","SISKIYOU ",""
"28","SKAGIT ",""
"29","SKAMANIA ",""
"20","SNOHOMISH ",""
"86","SOLANO ",""
"16","SONOMA ",""
"61","SPOKANE ",""
"57","STANISLAUS",""
"38","STEVENS ",""
"34","SUTTER ",""
"02","Second Judicial Division",""
"35","TEHAMA ",""
"2-","THURSTON",""
"10","TILLAMOOK ",""
"17","TRINITY ",""
"58","TULARE",""
"03","Third Judicial Division",""
"35","UMATILLA ",""
"49","UNION ",""
"01","Undocumented County",""
"02","Undocumented County",""
"01","Undocumented County",""
"02","Undocumented County",""
"5","Undocumented County",""
"03","Undocumented County",""
"00","Undocumented County",""
"65","Undocumented County",""
"3-","Undocumented County",""
"81","Undocumented County",""
"05","Undocumented County",""
"25","Undocumented County",""
"62","Undocumented County",""
"49","Undocumented County",""
"06","Undocumented County",""
"14","Undocumented County",""
"10","Undocumented County",""
"03","Undocumented County",""
"25","Undocumented County",""
"32","Undocumented County",""
"34","Undocumented County",""
"03","Undocumented County",""
"10","Undocumented County",""
"02","Undocumented County",""
"04","Undocumented County",""
"26","Undocumented County",""
"37","Undocumented County",""
"60","Undocumented County",""
"00","Undocumented County",""
"16","Undocumented County",""
"13","Undocumented County",""
"95","Undocumented County",""
"42","Undocumented County",""
"28","Undocumented County",""
"08","Undocumented County",""
"22","Undocumented County",""
"01","Undocumented County",""
"01","Undocumented County",""
"02","Undocumented County",""
"1","Undocumented County",""
"91","Undocumented County",""
"00","Undocumented County",""
"39","Undocumented County",""
"41","Undocumented County",""
"45","Undocumented County",""
"&&","Unknown",""
"&&","Unknown",""
"&&","Unknown",""
"&&","Unknown",""
"62","VENTURA ",""
"15","WAHKIAKUM",""
"49","WALLA WALLA ",""
"40","WALLOWA ",""
"36","WASCO ",""
"1-","WASHINGTON ",""
"2&","WHATCOM ",""
"4-","WHEELER",""
"40","WHITMAN ",""
"39","YAKIMA ",""
"1&","YAMHILL",""
"16","YAVAPAI ",""
"36","YOLO ",""
"37","YUBA ",""
"28","YUMA ",""
