Code,Meaning,Comments
"52","Atlantic States - Delaware",""
"51","Atlantic States - District of Columbia",""
"53","Atlantic States - Florida",""
"54","Atlantic States - Georgia",""
"55","Atlantic States - Maryland",""
"56","Atlantic States - New Jersey",""
"57","Atlantic States - New York",""
"58","Atlantic States - North Carolina",""
"59","Atlantic States - Pennsylvania",""
"50","Atlantic States - South Carolina",""
"5-","Atlantic States - Virginia",""
"5&","Atlantic States - West Virginia",""
"71","Hawaii - Hawaii County",""
"70","Hawaii - Hawaii, Unspecified",""
"72","Hawaii - Honolulu County",""
"73","Hawaii - Kauai County",""
"74","Hawaii - Maui County",""
"95","Japan - Central Division",""
"94","Japan - Central Division",""
"9&","Japan - Chosen or Korea",""
"9-","Japan - Formosa or Taiwan Is.",""
"92","Japan - Hokkaido or Yezu Is. Honsau or Honshu Is.",""
"90","Japan - Japan, Unspecified",""
"99","Japan - Kiushiu or Kyushu Is.",""
"93","Japan - Northern Division",""
"91","Japan - Sakhalin or Saghalien or Karafuto Is.",""
"98","Japan - Shikoku Is.",""
"96","Japan - Southern Division",""
"97","Japan - Urban Prefectures (Kyoto, Osaka and Tokyo)",""
"81","Miscellaneous - Alaska",""
"85","Miscellaneous - American Samoa",""
"82","Miscellaneous - Canada",""
"8-","Miscellaneous - Germany",""
"86","Miscellaneous - Guam",""
"8&","Miscellaneous - Ireland",""
"83","Miscellaneous - Mexico",""
"80","Miscellaneous - Poland",""
"87","Miscellaneous - Puerto Rico",""
"84","Miscellaneous - South America",""
"88","Miscellaneous - Virgin Islands",""
"89","Miscellaneous - Wake Island",""
"26","Mountain States - Arizona",""
"22","Mountain States - Colorado",""
"23","Mountain States - Idaho",""
"24","Mountain States - Montana",""
"25","Mountain States - Nevada",""
"21","Mountain States - New Mexico",""
"27","Mountain States - Utah",""
"28","Mountain States - Wyoming",""
"61","New England States - Connecticut",""
"62","New England States - Maine",""
"63","New England States - Massachusetts",""
"64","New England States - New Hampshire",""
"65","New England States - Rhode Island",""
"66","New England States - Vermont",""
"41","North Central States - Illinois",""
"42","North Central States - Indiana",""
"43","North Central States - Iowa",""
"44","North Central States - Kansas",""
"45","North Central States - Michigan",""
"46","North Central States - Minnesota",""
"47","North Central States - Missouri",""
"48","North Central States - Nebraska",""
"49","North Central States - North Dakota",""
"40","North Central States - Ohio",""
"4-","North Central States - South Dakota",""
"4&","North Central States - Wisconsin",""
"--","Other",""
"13","Pacific States - California",""
"12","Pacific States - Oregon",""
"11","Pacific States - Washington",""
"31","South Central States - Alabama",""
"32","South Central States - Arkansas",""
"33","South Central States - Kentucky",""
"34","South Central States - Louisiana",""
"35","South Central States - Mississippi",""
"36","South Central States - Oklahoma",""
"37","South Central States - Tennessee",""
"38","South Central States - Texas",""
"18","Undocumented State",""
"A3","Undocumented State",""
"B1","Undocumented State",""
"00","United States Unspecified",""
"&&","Unknown",""
