Code,Meaning,Comments
"6","INDIVIDUAL-JAPANESE & OTHER; NO SPOUSE",""
"K","INDIVIDUAL-JAPANESE & OTHER; SPOUSE-JAPANESE",""
"Q","INDIVIDUAL-JAPANESE & OTHER; SPOUSE-JAPANESE & OTHER",""
"N","INDIVIDUAL-JAPANESE & OTHER; SPOUSE-JAPANESE & WHITE",""
"X","INDIVIDUAL-JAPANESE & OTHER; SPOUSE-WHITE",""
"5","INDIVIDUAL-JAPANESE & WHITE ; NO SPOUSE",""
"J","INDIVIDUAL-JAPANESE & WHITE; SPOUSE-JAPANESE",""
"P","INDIVIDUAL-JAPANESE & WHITE; SPOUSE-JAPANESE & OTHER",""
"M","INDIVIDUAL-JAPANESE & WHITE; SPOUSE-JAPANESE & WHITE",""
"W","INDIVIDUAL-JAPANESE & WHITE; SPOUSE-WHITE",""
"4","INDIVIDUAL-JAPANESE; NO SPOUSE",""
"7","INDIVIDUAL-JAPANESE; SPOUSE-JAPANESE",""
"O","INDIVIDUAL-JAPANESE; SPOUSE-JAPANESE & OTHER",""
"L","INDIVIDUAL-JAPANESE; SPOUSE-JAPANESE & WHITE",""
"3","INDIVIDUAL-JAPANESE; SPOUSE-UNKNOWN",""
"V","INDIVIDUAL-JAPANESE; SPOUSE-WHITE",""
"1","INDIVIDUAL-OTHER; SPOUSE-JAPANESE",""
"2","INDIVIDUAL-WHITE & OTHER; SPOUSE-JAPANESE",""
"8","INDIVIDUAL-WHITE; NO SPOUSE",""
"S","INDIVIDUAL-WHITE; SPOUSE-JAPANESE",""
"U","INDIVIDUAL-WHITE; SPOUSE-JAPANESE & OTHER",""
"T","INDIVIDUAL-WHITE; SPOUSE-JAPANESE & WHITE",""
